,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Port Lincoln,64,AU,1551767845,89,-34.72,135.86,69.26,16.49
1,Yellowknife,5,CA,1551767805,78,62.45,-114.38,8.6,8.05
2,Namatanai,36,PG,1551768086,93,-3.66,152.44,85.28,5.64
3,Vaini,0,IN,1551765600,29,15.34,74.49,87.8,9.17
4,Atuona,12,PF,1551767354,100,-9.8,-139.03,82.13,13.91
5,Arraial do Cabo,8,BR,1551768086,92,-22.97,-42.02,79.16,11.01
6,Arlit,0,NE,1551768087,42,18.74,7.39,53.06,2.73
7,Ambon,75,FR,1551768075,87,47.55,-2.56,50.0,14.99
8,Tres Arroyos,0,AR,1551768087,72,-38.38,-60.28,55.13,4.74
9,Bluff,76,AU,1551767607,57,-23.58,149.07,83.53,13.24
10,Qaanaaq,32,GL,1551767585,77,77.48,-69.36,-8.23,7.43
11,Ulety,0,RU,1551768088,40,51.36,112.48,27.64,3.96
12,Ribeira Grande,44,PT,1551768088,98,38.52,-28.7,59.86,40.65
13,Torbay,90,CA,1551767728,100,47.66,-52.73,34.0,35.57
14,Severo-Kurilsk,64,RU,1551768089,100,50.68,156.12,22.64,6.98
15,San Pedro,20,AR,1551767695,94,-33.68,-59.66,62.01,2.62
16,Baoding,0,CN,1551768091,45,38.86,115.49,60.44,9.44
17,Puerto Ayora,0,EC,1551768030,100,-0.74,-90.35,79.66,6.31
18,Punta Arenas,75,CL,1551767593,86,-53.16,-70.91,37.4,12.75
19,Rovaniemi,0,FI,1551766800,84,66.5,25.72,-0.41,13.87
20,Mar del Plata,0,AR,1551768092,60,-46.43,-67.52,53.15,18.05
21,Kapaa,90,US,1551767904,72,22.08,-159.32,66.2,20.8
22,Tuatapere,0,NZ,1551768006,80,-46.13,167.69,69.01,1.01
23,Karratha,0,AU,1551768093,24,-20.74,116.85,103.28,12.01
24,Victoria,75,BN,1551765600,59,5.28,115.24,89.6,6.93
25,Elblag,75,PL,1551768045,86,54.15,19.41,42.01,26.4
26,Baie-Comeau,90,CA,1551768015,78,49.22,-68.15,23.0,10.29
27,New Norfolk,75,AU,1551768074,60,-42.78,147.06,72.0,9.17
28,Jamestown,0,AU,1551768095,91,-33.21,138.6,72.46,10.22
29,Schwabisch Hall,75,DE,1551768028,86,49.11,9.74,41.0,18.34
30,Fonte Boa,8,BR,1551768096,95,-2.51,-66.09,75.29,2.73
31,Castro,20,CL,1551765600,93,-42.48,-73.76,48.2,4.7
32,Port Elizabeth,1,US,1551768066,49,39.31,-74.98,30.2,9.17
33,Poitiers,20,FR,1551767859,93,46.58,0.34,46.0,11.41
34,Cidreira,0,BR,1551768097,84,-30.17,-50.22,74.84,8.99
35,Albany,20,US,1551768071,43,42.65,-73.75,17.01,9.17
36,Cockburn Town,0,TC,1551767907,97,21.46,-71.14,77.9,14.25
37,Galesong,20,ID,1551767400,66,-5.32,119.37,87.8,9.17
38,Rikitea,48,PF,1551768098,97,-23.12,-134.97,81.01,14.58
39,Ushuaia,40,AR,1551765600,60,-54.81,-68.31,41.0,8.05
40,Mataura,0,NZ,1551768006,80,-46.19,168.86,69.01,1.01
41,Mnogovershinnyy,36,RU,1551768099,53,53.94,139.92,17.11,8.43
42,Mirandola,90,IT,1551768093,93,44.89,11.07,53.01,2.84
43,Lompoc,40,US,1551767879,87,34.64,-120.46,53.6,3.36
44,Taoudenni,0,ML,1551768100,30,22.68,-3.98,45.95,4.07
45,Cape Town,0,ZA,1551767852,82,-33.93,18.42,69.01,5.82
46,Port Alfred,80,ZA,1551768065,94,-33.59,26.89,69.01,2.51
47,Souillac,40,FR,1551768033,93,45.6,-0.6,45.0,11.41
48,Staryy Nadym,68,RU,1551768101,83,65.61,72.68,7.03,8.43
49,Saskylakh,76,RU,1551768101,72,71.97,114.09,-6.48,4.85
50,La Seyne-sur-Mer,0,FR,1551768091,50,43.1,5.88,52.0,6.93
51,Broome,8,GB,1551768074,93,52.47,1.45,37.99,8.05
52,Kuala Terengganu,75,MY,1551765600,62,5.33,103.14,87.8,8.05
53,Busselton,8,AU,1551768012,22,-33.64,115.35,82.99,16.26
54,Luganville,44,VU,1551768102,99,-15.51,167.18,82.63,5.75
55,Esperance,20,TT,1551767411,88,10.24,-61.45,73.4,9.17
56,Fukue,75,JP,1551767649,54,35.03,136.69,57.99,8.05
57,Maracaju,44,BR,1551767972,93,-21.61,-55.17,69.17,4.63
58,Dauphin,90,CA,1551765840,85,51.15,-100.04,12.2,8.05
59,Sao Joao da Barra,56,BR,1551768023,100,-21.64,-41.05,79.34,8.66
60,Upernavik,68,GL,1551768104,100,72.79,-56.15,10.94,5.75
61,Codrington,40,AU,1551767854,51,-28.95,153.24,86.0,8.05
62,Reshetylivka,32,UA,1551768105,88,49.56,34.08,35.24,14.92
63,West Plains,1,US,1551768003,56,36.73,-91.85,19.0,9.17
64,Sola,75,NO,1551768003,93,58.89,5.65,42.01,8.05
